batch_size,epoch,input_to_padding_ratio,learning_rate,num_frames,num_tokens,output_to_padding_ratio,step,train_loss,training_batch_bleu,training_batch_wer
8.0,4,0.6931137442588806,1.3615320995086222e-06,1777920.0,498.0,0.7238371968269348,489,0.07842426747083664,0.8175182938575745,0.07971014827489853
8.0,4,0.5645262002944946,1.2878385859949049e-06,1738560.0,473.0,0.563095211982727,494,0.11209916323423386,0.7974547743797302,0.10810811072587967
2.0,4,0.9082969427108765,1.2171539083283278e-06,399360.0,97.0,0.8981481194496155,499,0.10089539736509323,0.9685936570167542,0.02857142873108387
8.0,5,0.7753232717514038,1.1495317266962957e-06,1381440.0,413.0,0.7591911554336548,504,0.05360829085111618,0.8760339021682739,0.05263157933950424
8.0,5,0.6735248565673828,1.0850233138626209e-06,1665600.0,465.0,0.745192289352417,509,0.09043476730585098,0.8389034867286682,0.08203125
8.0,5,0.5688101053237915,1.0236777825411991e-06,1817280.0,516.0,0.6581632494926453,514,0.10944686830043793,0.7233706712722778,0.13028168678283691
8.0,5,0.5729166865348816,9.655416306486586e-07,2006400.0,534.0,0.6013513803482056,519,0.09366491436958313,0.8085108995437622,0.11326860636472702
8.0,5,0.6710329055786133,9.10659082364873e-07,1721280.0,533.0,0.6798469424247742,524,0.11277579516172409,0.8794983625411987,0.05362775921821594
8.0,5,0.7910000085830688,8.590717470724485e-07,1518720.0,459.0,0.7451298832893372,529,0.11309002339839935,0.8517802953720093,0.08695652335882187
8.0,5,0.6473721861839294,8.108187898869801e-07,1750080.0,492.0,0.7151162624359131,534,0.1008450984954834,0.8746134638786316,0.06741572916507721
8.0,5,0.5291193127632141,7.659369316570519e-07,1430400.0,437.0,0.6581325531005859,539,0.09764168411493301,0.8301157355308533,0.07777778059244156
8.0,5,0.591160237789154,7.244601647471427e-07,1643520.0,456.0,0.7916666865348816,544,0.0731518417596817,0.8708541393280029,0.07457627356052399
8.0,5,0.7731643319129944,6.864200372547202e-07,1698240.0,487.0,0.7705696225166321,549,0.11166533082723618,0.7571209669113159,0.13780918717384338
8.0,5,0.6807644367218018,6.518454256365658e-07,2086080.0,566.0,0.7607526779174805,554,0.14642979204654694,0.797958254814148,0.0868055522441864
8.0,5,0.7801724076271057,6.20762591552193e-07,2085120.0,554.0,0.7780898809432983,559,0.06250173598527908,0.3428552746772766,0.07430340349674225
8.0,5,0.7154881954193115,5.931951818638481e-07,1632000.0,502.0,0.6747311949729919,564,0.10979395359754562,0.7769823670387268,0.09570956975221634
8.0,5,0.8068181872367859,5.691640012628341e-07,1363200.0,452.0,0.7739726305007935,569,0.09799237549304962,0.8337178826332092,0.07829181849956512
8.0,5,0.5507628917694092,5.486874670168618e-07,1801920.0,548.0,0.6284403800964355,574,0.13449518382549286,0.7638072967529297,0.10563380271196365
8.0,5,0.6635977625846863,5.317809836924425e-07,1799040.0,562.0,0.548828125,579,0.09938772022724152,0.7621518969535828,0.122023805975914
8.0,5,0.7303779125213623,5.184574547456577e-07,1929600.0,548.0,0.7784090638160706,584,0.09936869144439697,0.7445961236953735,0.145454540848732
8.0,5,0.75789475440979,5.087269983050646e-07,1658880.0,471.0,0.7746710777282715,589,0.2239714413881302,0.7206372618675232,0.14814814925193787
8.0,5,0.5804239511489868,5.025970040151151e-07,1787520.0,499.0,0.5940476059913635,594,0.07676901668310165,0.8406842947006226,0.07000000029802322
2.0,5,0.984455943107605,5.000721330361557e-07,364800.0,129.0,0.8600000143051147,599,0.1417972296476364,0.7626680731773376,0.1882352977991104
